[Thu Dec 11 00:25:22.510332 2025] [php7:error] [pid 107] [client 4.193.219.228:3873] script '/var/www/html/solucoesges.com.br/web/404.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 00:25:22.852881 2025] [php7:error] [pid 106] [client 4.193.219.228:3875] script '/var/www/html/solucoesges.com.br/web/aa.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 00:25:24.555020 2025] [php7:error] [pid 106] [client 4.193.219.228:3889] script '/var/www/html/solucoesges.com.br/web/admin.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 00:25:25.249777 2025] [php7:error] [pid 107] [client 4.193.219.228:3897] script '/var/www/html/solucoesges.com.br/web/adminfuns.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 00:25:28.905194 2025] [php7:error] [pid 108] [client 4.193.219.228:3939] script '/var/www/html/solucoesges.com.br/web/ahax.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 00:25:29.285980 2025] [php7:error] [pid 106] [client 4.193.219.228:3943] script '/var/www/html/solucoesges.com.br/web/akcc.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 00:25:29.628249 2025] [php7:error] [pid 107] [client 4.193.219.228:3945] script '/var/www/html/solucoesges.com.br/web/alfa.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 00:25:30.654177 2025] [php7:error] [pid 107] [client 4.193.219.228:3959] script '/var/www/html/solucoesges.com.br/web/av.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 00:25:31.007433 2025] [php7:error] [pid 108] [client 4.193.219.228:3965] script '/var/www/html/solucoesges.com.br/web/bless.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 00:25:32.425029 2025] [php7:error] [pid 106] [client 4.193.219.228:3973] script '/var/www/html/solucoesges.com.br/web/buy.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 00:25:32.767225 2025] [php7:error] [pid 107] [client 4.193.219.228:3981] script '/var/www/html/solucoesges.com.br/web/atomlib.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 00:25:33.112522 2025] [php7:error] [pid 108] [client 4.193.219.228:3983] script '/var/www/html/solucoesges.com.br/web/cgi-bin/file.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 00:25:33.456838 2025] [php7:error] [pid 106] [client 4.193.219.228:3985] script '/var/www/html/solucoesges.com.br/web/cgi-bin/index.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 00:25:36.635981 2025] [php7:error] [pid 107] [client 4.193.219.228:4009] script '/var/www/html/solucoesges.com.br/web/chosen.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 00:25:37.083154 2025] [php7:error] [pid 108] [client 4.193.219.228:4011] script '/var/www/html/solucoesges.com.br/web/classwithtostring.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 00:25:37.429642 2025] [php7:error] [pid 106] [client 4.193.219.228:4017] script '/var/www/html/solucoesges.com.br/web/edit.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 00:25:37.770938 2025] [php7:error] [pid 107] [client 4.193.219.228:4019] script '/var/www/html/solucoesges.com.br/web/elp.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 00:25:38.116748 2025] [php7:error] [pid 108] [client 4.193.219.228:4021] script '/var/www/html/solucoesges.com.br/web/simple.php' not found or unable to stat, referer: https://www.google.com/
